https://www.constellation.com/campaigns/DisplayNew2020.html	facebook	paid social	evergreen_2023		re	oh		en	static	v3	1p			https://www.constellation.com/campaigns/DisplayNew2020.html?utm_source=facebook&utm_medium=paid+social&utm_campaign=evergreen_2023_re_en&utm_content=static_v3_oh&utm_term={{placement}}_1p
https://www.constellation.com/campaigns/DisplayNew2020.html	facebook	paid social	evergreen_2023		pr	ma		en	static	v1	lal			https://www.constellation.com/campaigns/DisplayNew2020.html?utm_source=facebook&utm_medium=paid+social&utm_campaign=evergreen_2023_pr_en&utm_content=static_v1_ma&utm_term={{placement}}_lal
https://www.constellation.com/campaigns/DisplayNew2020.html	facebook	paid social	evergreen_2023		pr	ma		en	static	v2	lal			https://www.constellation.com/campaigns/DisplayNew2020.html?utm_source=facebook&utm_medium=paid+social&utm_campaign=evergreen_2023_pr_en&utm_content=static_v2_ma&utm_term={{placement}}_lal
https://www.constellation.com/campaigns/DisplayNew2020.html	facebook	paid social	evergreen_2023		pr	ma		en	static	v3	lal			https://www.constellation.com/campaigns/DisplayNew2020.html?utm_source=facebook&utm_medium=paid+social&utm_campaign=evergreen_2023_pr_en&utm_content=static_v3_ma&utm_term={{placement}}_lal
https://www.constellation.com/campaigns/DisplayNew2020.html	facebook	paid social	evergreen_2023		re	ma		en	static	v1	1p			https://www.constellation.com/campaigns/DisplayNew2020.html?utm_source=facebook&utm_medium=paid+social&utm_campaign=evergreen_2023_re_en&utm_content=static_v1_ma&utm_term={{placement}}_1p
https://www.constellation.com/campaigns/DisplayNew2020.html	facebook	paid social	evergreen_2023		re	ma		en	static	v2	1p			https://www.constellation.com/campaigns/DisplayNew2020.html?utm_source=facebook&utm_medium=paid+social&utm_campaign=evergreen_2023_re_en&utm_content=static_v2_ma&utm_term={{placement}}_1p
https://www.constellation.com/campaigns/DisplayNew2020.html	facebook	paid social	evergreen_2023		re	ma		en	static	v3	1p			https://www.constellation.com/campaigns/DisplayNew2020.html?utm_source=facebook&utm_medium=paid+social&utm_campaign=evergreen_2023_re_en&utm_content=static_v3_ma&utm_term={{placement}}_1p
https://www.orderconstellation.com/states/georgia-202208	facebook	paid social	evergreen_2023		pr	ga		en	static	v1	lal			https://www.orderconstellation.com/states/georgia-202208?utm_source=facebook&utm_medium=paid+social&utm_campaign=evergreen_2023_pr_en&utm_content=static_v1_ga&utm_term={{placement}}_lal
https://www.orderconstellation.com/states/georgia-202208	facebook	paid social	evergreen_2023		pr	ga		en	static	v2	lal			https://www.orderconstellation.com/states/georgia-202208?utm_source=facebook&utm_medium=paid+social&utm_campaign=evergreen_2023_pr_en&utm_content=static_v2_ga&utm_term={{placement}}_lal
https://www.orderconstellation.com/states/georgia-202208	facebook	paid social	evergreen_2023		pr	ga		en	static	v3	lal			https://www.orderconstellation.com/states/georgia-202208?utm_source=facebook&utm_medium=paid+social&utm_campaign=evergreen_2023_pr_en&utm_content=static_v3_ga&utm_term={{placement}}_lal
https://www.orderconstellation.com/states/georgia-202208	facebook	paid social	evergreen_2023		re	ga		en	static	v1	1p			https://www.orderconstellation.com/states/georgia-202208?utm_source=facebook&utm_medium=paid+social&utm_campaign=evergreen_2023_re_en&utm_content=static_v1_ga&utm_term={{placement}}_1p
https://www.orderconstellation.com/states/georgia-202208	facebook	paid social	evergreen_2023		re	ga		en	static	v2	1p			https://www.orderconstellation.com/states/georgia-202208?utm_source=facebook&utm_medium=paid+social&utm_campaign=evergreen_2023_re_en&utm_content=static_v2_ga&utm_term={{placement}}_1p
https://www.orderconstellation.com/states/georgia-202208	facebook	paid social	evergreen_2023		re	ga		en	static	v3	1p			https://www.orderconstellation.com/states/georgia-202208?utm_source=facebook&utm_medium=paid+social&utm_campaign=evergreen_2023_re_en&utm_content=static_v3_ga&utm_term={{placement}}_1p
https://www.constellation.com/campaigns/DisplayNew2020.html	facebook	paid social	evergreen_2023		pr	ct		en	static	v1	lal			https://www.constellation.com/campaigns/DisplayNew2020.html?utm_source=facebook&utm_medium=paid+social&utm_campaign=evergreen_2023_pr_en&utm_content=static_v1_ct&utm_term={{placement}}_lal
